brand,unit,unit_count
,$25.76/1kg $11.69/1lb,3
,$24.67/1kg $11.19/1lb,3
,$22.99 ,3
,$21.99 ,3
,$15.98 ,3
,$14.97/1kg $6.79/1lb,3
,$11.00/1kg,3
,$1.98 ,3
,$1.94/1kg $0.88/1lb,3
,$1.32/100g $13.21/1kg,3
,$1.21/100g $12.10/1kg,3
,$1.10/100g $11.00/1kg,3
,~4lbs,2
,~1lb,2
,~1.5lbs,2
,pack,2
,lb,2
,bag,2
,Yellow,2
,Whole,2
,White,2
,Slow Cooker Liner Saucepan Divider Slow Cooker Liner Easy Clean Nonstick Pan for Indoor/Outdoor,2
,Silica gel Yilush,2
,Silica gel Akmoler,2
,Reusable Popsicle Holder With Slotted Popsicle,2
,Ready To Cook,2
,"Raw, 8pcs",2
,Popsicle Holders Bags Reusable Washable Ice Popsicle Holders 10pc Rwvbm,2
,Pack of 4,2
,Pack of 20,2
,Original With Sesame 75g,2
,No condiments included,2
,"Hot, Large",2
,"Hot, 4pcs",2
,Garlic 1kg,2
,Fresh,2
,Flash Deals,2
,FLAVOURED SANDWICH BISCUITS,2
,Each,2
,E-ALTRA SHWAMA,2
,Cream 500g,2
,Butter,2
,Bag of 6,2
,Around 3 fillets per tray,2
,Around 2 fillets per tray,2
,Approximately 5 tomatoes per cluster,2
,A tray contains on average 400g,2
,9oz,2
,995g,2
,990g,2
,98g,2
,95.83gx6,2
,948g,2
,940ml,2
,93mlx6,2
,920ml,2
,90mlx6,2
,904g,2
,88ml x 3,2
,88gx5,2
,87g,2
,860ml,2
,85ml x 6,2
,850ml,2
,83g,2
,835g,2
,828g,2
,810g,2
,80ml x 5,2
,80ml x 4,2
,8 x 42.5g,2
,8 x 250ml,2
,8 x 21g,2
,8 x 120ml,2
,8 un - 450g,2
,8 un - 375g,2
,8 un - 350g,2
,8 un - 340g,2
,8 bars,2
,7x1.0ea,2
,7oz,2
,7g,2
,795g,2
,788g,2
,785g,2
,772g,2
,770g,2
,75mlx6,2
,739ml,2
,736g,2
,72mlx3,2
,72gx5,2
,71gx5,2
,714ml,2
,711g,2
,70gx6,2
,70gx3,2
,70g x 6,2
,70g x 5,2
,704g,2
,6x1.0ea,2
,6ea,2
,699g,2
,696g,2
,695g,2
,693g,2
,668g,2
,665g,2
,65ml x 6,2
,65gx10,2
,65.7g,2
,645ml,2
,645g,2
,637g,2
,635ml,2
,631g,2
,630ml,2
,628ml,2
,619g,2
,618g,2
,616g,2
,60g x 5,2
,608g,2
